contract,sky,date
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,3545482.950460897,2025-06-07
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3274943.2623278345,2025-06-07
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,299652.57911151554,2025-06-07
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-07
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-07
0x173a1c04b79ed9266721c1154daa29addc0b9558,2462796682.9145985,2025-06-06
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2043838006.2372043,2025-06-06
0xfc48fbca739079aab08216c4d5e506b96593753d,945984996.76427,2025-06-06
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,380021202.4703148,2025-06-06
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,29617927.28014124,2025-06-06
0xe01684b17df0abbdaf97839277b194be4e1a7e79,22348990.527282152,2025-06-06
0x555230eca835a808518ec3ea3082f05502bab850,15756521.049310047,2025-06-06
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,3508833.4962649434,2025-06-06
0xead02d18529c10eedd995f760fdf5e380ddf3da6,2825229.9926278344,2025-06-06
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,299652.57911151554,2025-06-06
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-06
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-06
0x173a1c04b79ed9266721c1154daa29addc0b9558,2457408128.0020256,2025-06-05
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2042948269.8610642,2025-06-05
0xfc48fbca739079aab08216c4d5e506b96593753d,944028953.7647736,2025-06-05
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,379237858.63000005,2025-06-05
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,29593127.640147362,2025-06-05
0xe01684b17df0abbdaf97839277b194be4e1a7e79,22160550.92969015,2025-06-05
0x555230eca835a808518ec3ea3082f05502bab850,15676728.19410899,2025-06-05
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,3507701.9078610684,2025-06-05
0xead02d18529c10eedd995f760fdf5e380ddf3da6,2433600.2717513097,2025-06-05
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,299652.57911151554,2025-06-05
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-05
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-05
0x173a1c04b79ed9266721c1154daa29addc0b9558,2442356568.1468687,2025-06-04
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2417381691.3366942,2025-06-04
0xfc48fbca739079aab08216c4d5e506b96593753d,942900329.3526943,2025-06-04
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,29593127.640147362,2025-06-04
0xe01684b17df0abbdaf97839277b194be4e1a7e79,21797767.121207736,2025-06-04
0x555230eca835a808518ec3ea3082f05502bab850,15676728.19410899,2025-06-04
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,3322365.4423299446,2025-06-04
0xead02d18529c10eedd995f760fdf5e380ddf3da6,2432620.015101115,2025-06-04
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,1589320.2777120278,2025-06-04
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-04
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,0.0,2025-06-04
